ID,data_publicacao,diretoria,numero_revista,codigo,titulo,numero,data_deposito,data_prioridade,cod_prioridade,classif_internacion,classif_nacion,titulo_inid,titular_nome,titular_uf,titular_pais,inventor_nome,titular_1,titular_parceiros1,titular_parceiros2,titular_abv,titular_uf1,titular_uf2,classif_nac1,classif_nac2,classif_nac3,classif_internac1,classif_internac2,classif_internac3,inventor_1,inventor_outros
ID07022,29/12/2020,Patente,2608,3.1,Publicação do Pedido de Patente ou de Certificado de Adição de Invenção,BR 10 2019 012701-5,19/06/2019,,,A61K 47/34; A61K 47/10; A61K 31/366; A61P 19/00,,COMPOSIÇÃO E PROCESSO DE PRODUÇÃO DE SISTEMAS DE LIBERAÇÃO CONTROLADA CONTENDO AGENTE PARA REGENERAÇÃO ÓSSEA GUIADA,UNIVERSIDADE FEDERAL DA PARAIBA; UNIVERSIDADE FEDERAL DE UBERLÂNDIA,PB; MG,BR; BR,KALINE DO NASCIMENTO FERREIRA; ELITON SOUTO DE MEDEIROS; LÚCIO ROBERTO CANÇADO CASTELLANO; LUIZ RICARDO GOULART FILHO; LETÍCIA DE SOUZA CASTRO FILICE; LORRAINE BRAGA FERREIRA; VIVIAN ALONSO GOULART; ISABELA LEMOS DE LIMA,UNIVERSIDADE FEDERAL DA PARAIBA,UNIVERSIDADE FEDERAL DE UBERLÂNDIA,,UFPB,PB,MG,,,,A61K 47/34,A61K 47/10,A61K 31/366; A61P 19/00,KALINE DO NASCIMENTO FERREIRA,ELITON SOUTO DE MEDEIROS; LÚCIO ROBERTO CANÇADO CASTELLANO; LUIZ RICARDO GOULART FILHO; LETÍCIA DE SOUZA CASTRO FILICE; LORRAINE BRAGA FERREIRA; VIVIAN ALONSO GOULART; ISABELA LEMOS DE LIMA
ID07026,29/12/2020,Patente,2608,3.1,Publicação do Pedido de Patente ou de Certificado de Adição de Invenção,BR 10 2019 012755-4,19/06/2019,,,B60Q 1/38; B60Q 1/34; B60Q 1/40,B60Q 1/38; B60Q 1/346; B60Q 1/40,MATERIAL PARTICULADO PARA OBTENÇÃO DE COMPÓSITO MAGNÉTICO MOLE E PROCESSO DE PRODUÇÃO DE MATERIAL PARTICULADO PARA A OBTENÇÃO DE COMPÓSITO MAGNÉTICO MOLE,UNIVERSIDADE FEDERAL DE SANTA CATARINA - UFSC,SC,BR,LEANDRO LIMA EVANGELISTA; ANTONIO ITAMAR RAMOS FILHO; LETÍCIA ESPÍNDOLA MACHADO; GUSTAVO TONTINI; ALOISIO NELMO KLEIN; VALDERES DRAGO; GISELE HAMMES; CRISTIANO BINDER; NELSON JHOE BATISTELA; ROBERTO BINDER; FELIPE DARABAS RZATKI; BERNARDO SENA DA SILVA; INDIARA PITTA CORRÊA DA SILVA,UNIVERSIDADE FEDERAL DE SANTA CATARINA - UFSC,,,UFSC,SC,,B60Q 1/38,B60Q 1/346,B60Q 1/40,B60Q 1/38,B60Q 1/34,B60Q 1/40,LEANDRO LIMA EVANGELISTA,ANTONIO ITAMAR RAMOS FILHO; LETÍCIA ESPÍNDOLA MACHADO; GUSTAVO TONTINI; ALOISIO NELMO KLEIN; VALDERES DRAGO; GISELE HAMMES; CRISTIANO BINDER; NELSON JHOE BATISTELA; ROBERTO BINDER; FELIPE DARABAS RZATKI; BERNARDO SENA DA SILVA; INDIARA PITTA CORRÊA DA SILVA
ID07034,29/12/2020,Patente,2608,3.1,Publicação do Pedido de Patente ou de Certificado de Adição de Invenção,BR 10 2019 012853-4,19/06/2019,,,B08B 9/027; B08B 9/04; E21B 37/06; C23G 3/04,,SISTEMA PARA DESOBSTRUÇÃO OU LIMPEZA DE DUTOS ATRAVÉS DE UMA REAÇÃO LOCAL CONTROLADA,PETRÓLEO BRASILEIRO S.A. - PETROBRAS; UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL,RJ; RS,BR; BR,HUGO FRANCISCO LISBOA SANTOS; GIOVANNI SOUZA DE ANDRADE; CEDRIC HERNALSTEENS; NEY ROBINSON SALVI DOS REIS; EDUARDO DONADEL BASSO; ANDRE MANOEL GOJA FERREIRA; EDUARDO ANDRÉ PERONDI; ÁLVARO BRUSCATO SCHMIDT; FABIANO DISCONZI WILDNER; RAFAEL ANTÔNIO COMPARSI LARANJA; TIAGO BECKER; JOSÉ LEANDRO ROSALES LUZ; EDER GONÇALVES DORNELES; BRUNO BARBOSA CASTRO,PETRÓLEO BRASILEIRO S.A. - PETROBRAS,UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL,,,RJ,RS,,,,B08B 9/027,B08B 9/04,E21B 37/06; C23G 3/04,HUGO FRANCISCO LISBOA SANTOS,GIOVANNI SOUZA DE ANDRADE; CEDRIC HERNALSTEENS; NEY ROBINSON SALVI DOS REIS; EDUARDO DONADEL BASSO; ANDRE MANOEL GOJA FERREIRA; EDUARDO ANDRÉ PERONDI; ÁLVARO BRUSCATO SCHMIDT; FABIANO DISCONZI WILDNER; RAFAEL ANTÔNIO COMPARSI LARANJA; TIAGO BECKER; JOSÉ LEANDRO ROSALES LUZ; EDER GONÇALVES DORNELES; BRUNO BARBOSA CASTRO
ID07038,29/12/2020,Patente,2608,3.1,Publicação do Pedido de Patente ou de Certificado de Adição de Invenção,BR 10 2019 012913-1,21/06/2019,,,G02F 1/01; H01P 1/10,G02F 1/01; H01P 1/10,CHAVE COMPACTA PARA OPERAÇÃO EM FREQUÊNCIAS DE TERAHERTZ BASEADA EM UM RESSONADOR CIRCULAR DE GRAFENO,UNIVERSIDADE FEDERAL DO PARÁ; UNIVERSIDADE FEDERAL RURAL DA AMAZÔNIA,PA; PA,BR; BR,VICTOR DMITRIEV; WAGNER ORMANES PALHETA CASTRO; GIANNI MASAKI TANAKA PORTELA,UNIVERSIDADE FEDERAL DO PARÁ,UNIVERSIDADE FEDERAL RURAL DA AMAZÔNIA,,UFPA,PA,PA,G02F 1/01,H01P 1/10,,G02F 1/01,H01P 1/10,,VICTOR DMITRIEV,WAGNER ORMANES PALHETA CASTRO; GIANNI MASAKI TANAKA PORTELA
ID07039,29/12/2020,Patente,2608,3.1,Publicação do Pedido de Patente ou de Certificado de Adição de Invenção,BR 10 2019 012935-2,21/06/2019,,,H01Q 1/38; H01Q 9/00,H01Q 1/38; H01Q 9/00,ANTENA DE MICROFITA HI MINIATURIZADA PARA APLICAÇÕES NO PADRÃO TERRESTRE DE TV DIGITAL,UNIVERSIDADE FEDERAL DO PARÁ,PA,BR,MIÉRCIO CARDOSO DE ALCÂNTARA NETO; GERVÁSIO PROTÁSIO DOS SANTOS CAVALCANTE; RODRIGO MELO E SILVA DE OLIVEIRA; FÁBIO FERREIRA RIBEIRO,UNIVERSIDADE FEDERAL DO PARÁ,,,UFPA,PA,,H01Q 1/38,H01Q 9/00,,H01Q 1/38,H01Q 9/00,,MIÉRCIO CARDOSO DE ALCÂNTARA NETO,GERVÁSIO PROTÁSIO DOS SANTOS CAVALCANTE; RODRIGO MELO E SILVA DE OLIVEIRA; FÁBIO FERREIRA RIBEIRO
ID07040,29/12/2020,Patente,2608,3.1,Publicação do Pedido de Patente ou de Certificado de Adição de Invenção,BR 10 2019 012974-3,21/06/2019,,,G05D 1/00; B64C 39/02; B64D 1/12,,"DISPOSITIVOS, SISTEMAS E MÉTODOS PARA ENTREGAS AUTOMATIZADAS VIA VEÍCULO AÉREO NÃO TRIPULADO MULTIROTOR DE ASAS ROTATIVAS AUTÔNOMO",UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE,RN,BR,MANOEL PEDRO DE MEDEIROS NETO; LEONARDO CUNHA DE MIRANDA,UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE,,,UFRN,RN,,,,,G05D 1/00,B64C 39/02,B64D 1/12,MANOEL PEDRO DE MEDEIROS NETO,LEONARDO CUNHA DE MIRANDA
ID07107,29/12/2020,Patente,2608,3.1,Publicação do Pedido de Patente ou de Certificado de Adição de Invenção,BR 20 2019 012687-1,19/06/2019,,,C05G 5/00,,ADUBO EM CÁPSULA,INSTITUTO FEDERAL DO TOCANTINS,TO,BR,REINALDO FERREIRA MEDEIROS; ROGÉRIO LORANÇONI; DANILO AKIO DE SOUSA ESASHIKA,INSTITUTO FEDERAL DO TOCANTINS,,,IFTO,TO,,,,,C05G 5/00,,,REINALDO FERREIRA MEDEIROS,ROGÉRIO LORANÇONI; DANILO AKIO DE SOUSA ESASHIKA
ID07108,29/12/2020,Patente,2608,3.1,Publicação do Pedido de Patente ou de Certificado de Adição de Invenção,BR 20 2019 012698-7,19/06/2019,,,A61B 6/14,A61B 6/14,DISPOSIÇÃO APLICADA EM NEGATOSCÓPIO COM LUZ DE FUNDO COM LEDS ALINHADOS EM UMA LATERAL,UNIVERSIDADE TECNOLOGICA FEDERAL DO PARANA,PR,BR,ALBERTO NOBORU MIYADAIRA; WILLIAM CANDIDO RIBEIRO; MATEUS MORO LUMERTZ; CAIO HENRIQUE CUNHA CONTI,UNIVERSIDADE TECNOLOGICA FEDERAL DO PARANA,,,UTFPR,PR,,A61B 6/14,,,A61B 6/14,,,ALBERTO NOBORU MIYADAIRA,WILLIAM CANDIDO RIBEIRO; MATEUS MORO LUMERTZ; CAIO HENRIQUE CUNHA CONTI
ID07124,05/01/2021,Patente,2609,3.1,Publicação do Pedido de Patente ou de Certificado de Adição de Invenção,BR 10 2019 013039-3,24/06/2019,,,B01L 3/14,,DISPOSITIVO DE SECAGEM PARA CONDUÇÃO DE ANÁLISES BIOLÓGICAS,UNIVERSIDADE FEDERAL DE PELOTAS,RS,BR,GABRIEL DE OLIVEIRA URTIAGA; VINICIUS FARIAS CAMPOS; WILLIAM BORGES DOMINGUES; JANAINA TOMAZONI SANTOS; EDUARDO BIERHALS BLODORN; AMANDA WEEGE DA SILVEIRA MARTINS; EDUARDO NUNES DELLAGOSTIN,UNIVERSIDADE FEDERAL DE PELOTAS,,,UFPEL,RS,,,,,B01L 3/14,,,GABRIEL DE OLIVEIRA URTIAGA,VINICIUS FARIAS CAMPOS; WILLIAM BORGES DOMINGUES; JANAINA TOMAZONI SANTOS; EDUARDO BIERHALS BLODORN; AMANDA WEEGE DA SILVEIRA MARTINS; EDUARDO NUNES DELLAGOSTIN
ID07129,05/01/2021,Patente,2609,3.1,Publicação do Pedido de Patente ou de Certificado de Adição de Invenção,BR 10 2019 013066-0,24/06/2019,,,G01W 1/14; G01W 1/04,,DISPOSITIVO AUTOMÁTICO PARA MENSURAR QUEDAS DE GRANIZO A PARTIR DE SENSOR DE INTENSIDADE SONORA,UNIVERSIDADE TECNOLOGICA FEDERAL DO PARANA,PR,BR,MARCOS VINICIUS BUENO DE MORAIS; LEILA DROPRINCHINSKI MARTINS; JORGE ALBERTO MARTINS,UNIVERSIDADE TECNOLOGICA FEDERAL DO PARANA,,,UTFPR,PR,,,,,G01W 1/14,G01W 1/04,,MARCOS VINICIUS BUENO DE MORAIS,LEILA DROPRINCHINSKI MARTINS; JORGE ALBERTO MARTINS
ID07130,05/01/2021,Patente,2609,3.1,Publicação do Pedido de Patente ou de Certificado de Adição de Invenção,BR 10 2019 013092-0,24/06/2019,,,H02J 3/01; H02S 10/20,,SISTEMA DE GERAÇÃO DISTRIBUÍDA FOTOVOLTAICO COM ARMAZENAMENTO DE ENERGIA INTEGRADO A UM CONDICIONADOR UNIFICADO DE QUALIDADE DE ENERGIA MONOFÁSICO-TRIFÁSICO,UNIVERSIDADE TECNOLOGICA FEDERAL DO PARANA,PR,BR,SÉRGIO AUGUSTO OLIVEIRA DA SILVA; GUILHERME MASQUETTI PELZ; LEONARDO POLTRONIERI SAMPAIO,UNIVERSIDADE TECNOLOGICA FEDERAL DO PARANA,,,UTFPR,PR,,,,,H02J 3/01,H02S 10/20,,SÉRGIO AUGUSTO OLIVEIRA DA SILVA,GUILHERME MASQUETTI PELZ; LEONARDO POLTRONIERI SAMPAIO
ID07135,05/01/2021,Patente,2609,3.1,Publicação do Pedido de Patente ou de Certificado de Adição de Invenção,BR 10 2019 013117-9,24/06/2019,,,D01F 6/30; C08L 55/02; C08K 3/013; C08K 3/26; C08K 3/30,D01F 6/30; C08L 55/02; C08K 3/013; C08K 3/26; C08K 3/30,FILAMENTO RADIOPACO PARA USO EM IMPRESSÕES 3D,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE SANTA CATARINA; JURGEN SAND 00383992966",SC; SC,BR; BR,MATHEUS BRUM MARQUES BIANCHI SAVI; MARCO ANTONIO BERTONCINI ANDRADE; JURGEN SAND,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE SANTA CATARINA",JURGEN SAND 00383992966,,IFSC,SC,SC,D01F 6/30,C08L 55/02,C08K 3/013; C08K 3/26; C08K 3/30,D01F 6/30,C08L 55/02,C08K 3/013; C08K 3/26; C08K 3/30,MATHEUS BRUM MARQUES BIANCHI SAVI,MARCO ANTONIO BERTONCINI ANDRADE; JURGEN SAND
ID07137,05/01/2021,Patente,2609,3.1,Publicação do Pedido de Patente ou de Certificado de Adição de Invenção,BR 10 2019 013124-1,24/06/2019,,,B64G 1/24; B64G 1/66; G01C 21/02,B64G 1/244; B64G 1/66; G01C 21/025,PROCESSO PARA SIMULAÇÃO DE CONTROLE DE ATITUDE DE NANOSSATÉLITES A PARTIR DE ATUAÇÃO MAGNÉTICA,FUNDAÇÃO UNIVERSIDADE DE BRASILIA,DF,BR,RENATO ALVES BORGES; CHANTAL CAPPELLETTI; SIMONE BATTISTINI; IGOR SEIITI KINOSHITA ISHIOKA; LUCAS MENESES BANDEIRA DA SILVA,FUNDAÇÃO UNIVERSIDADE DE BRASILIA,,,UNB,DF,,B64G 1/244,B64G 1/66,G01C 21/025,B64G 1/24,B64G 1/66,G01C 21/02,RENATO ALVES BORGES,CHANTAL CAPPELLETTI; SIMONE BATTISTINI; IGOR SEIITI KINOSHITA ISHIOKA; LUCAS MENESES BANDEIRA DA SILVA
ID07140,05/01/2021,Patente,2609,3.1,Publicação do Pedido de Patente ou de Certificado de Adição de Invenção,BR 10 2019 013153-5,25/06/2019,,,A23J 1/04; A23P 10/30,,MICROPARTÍCULAS DE CONCENTRADO E HIDROLISADO PROTEICO DE PESCADO E RESPECTIVOS PROCESSOS DE OBTENÇÃO,UNIVERSIDADE FEDERAL DE PERNAMBUCO; UNIVERSIDADE FEDERAL DE ALAGOAS,PE; AL,BR; BR,ANDREIA CYBELLE MARQUES FERREIRA; RAQUEL PEREIRA FREITAS DA SILVA; THIAGO BARBOSA CAHÚ; RANILSON DE SOUZA BEZERRA; JULIETT DE FÁTIMA XAVIER DA SILVA; LUIZ BEZERRA DE CARVALHO JUNIOR; IRINALDO BASÍLIO DINIZ JÚNIOR; VALDEMIR DA COSTA SILVA,UNIVERSIDADE FEDERAL DE PERNAMBUCO,UNIVERSIDADE FEDERAL DE ALAGOAS,,UFPE,PE,AL,,,,A23J 1/04,A23P 10/30,,ANDREIA CYBELLE MARQUES FERREIRA,RAQUEL PEREIRA FREITAS DA SILVA; THIAGO BARBOSA CAHÚ; RANILSON DE SOUZA BEZERRA; JULIETT DE FÁTIMA XAVIER DA SILVA; LUIZ BEZERRA DE CARVALHO JUNIOR; IRINALDO BASÍLIO DINIZ JÚNIOR; VALDEMIR DA COSTA SILVA
ID07143,05/01/2021,Patente,2609,3.1,Publicação do Pedido de Patente ou de Certificado de Adição de Invenção,BR 10 2019 013169-1,25/06/2019,,,A23G 1/48; A23G 1/54; A23P 20/20,,TRUFAS DE CHOCOLATE NUTRICIONALMENTE FORTIFICADAS COM HORTALIÇAS E RESPECTIVO PROCESSO DE PREPARAÇÃO,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE GOIÁS",GO,BR,ELISANGELA CARDOSO DE LIMA BORGES; GUSTAVO HENRIQUE AMARAL MONTEIRO ROCHA,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE GOIÁS",,,IFG,GO,,,,,A23G 1/48,A23G 1/54,A23P 20/20,ELISANGELA CARDOSO DE LIMA BORGES,GUSTAVO HENRIQUE AMARAL MONTEIRO ROCHA
ID07153,05/01/2021,Patente,2609,3.1,Publicação do Pedido de Patente ou de Certificado de Adição de Invenção,BR 10 2019 013246-9,26/06/2019,,,A01G 31/00,,HIDROPONIA MÓVEL PIRAMIDAL,UNIVERSIDADE FEDERAL DO CEARÁ,CE,BR,ALEXSANDRO OLIVEIRA DA SILVA; JENYFFER DA SILVA GOMES SANTOS; DANIEL ALBIERO,UNIVERSIDADE FEDERAL DO CEARÁ,,,UFC,CE,,,,,A01G 31/00,,,ALEXSANDRO OLIVEIRA DA SILVA,JENYFFER DA SILVA GOMES SANTOS; DANIEL ALBIERO
ID07154,05/01/2021,Patente,2609,3.1,Publicação do Pedido de Patente ou de Certificado de Adição de Invenção,BR 10 2019 013250-7,26/06/2019,,,C12N 11/10; C12N 9/08; C08B 37/00,,PROCESSO DE IMOBILIZAÇÃO DE UMA PEROXIDASE OBTIDA DAS RAÍZES DE MORINGA OLEIFERA EM ESFERAS DE QUITOSANA MODIFICADAS COM GLUTARALDEÍDO,UNIVERSIDADE FEDERAL DO CEARÁ,CE,BR,DANIELE DE OLIVEIRA BEZERRA DE SOUSA; LARISSA ALVES LOPES; HELEN PAULA SILVA DA COSTA; JOÃO XAVIER DA SILVA NETO; JOSÉ TADEU ABREU DE OLIVEIRA; ILKA MARIA VASCONCELOS,UNIVERSIDADE FEDERAL DO CEARÁ,,,UFC,CE,,,,,C12N 11/10,C12N 9/08,C08B 37/00,DANIELE DE OLIVEIRA BEZERRA DE SOUSA,LARISSA ALVES LOPES; HELEN PAULA SILVA DA COSTA; JOÃO XAVIER DA SILVA NETO; JOSÉ TADEU ABREU DE OLIVEIRA; ILKA MARIA VASCONCELOS
ID07162,05/01/2021,Patente,2609,3.1,Publicação do Pedido de Patente ou de Certificado de Adição de Invenção,BR 10 2019 013327-9,26/06/2019,,,B27N 3/04; B29B 7/92; B29B 7/12; C08J 3/20; C08J 5/06,B27N 3/04; B29B 7/92; B29B 7/12; C08J 3/201; C08J 5/06; C08L 2205/16; C08L 2201/06,"BIOCOMPÓSITO, USO DA FIBRA DA CASCA DE DAPHNOPSIS RACEMOSA GRISEB, PROCESSO DE OBTENÇÃO DO BIOCOMPÓSITO E USO DO BIOCOMPÓSITO",UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL,RS,BR,RAFAEL GHESLA SILVESTRIM; RUTH MARLENE CAMPOMANES SANTANA; ADRIANA DA SILVA MOURA,UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL,,,UFRGS,RS,,B27N 3/04,B29B 7/92,B29B 7/12; C08J 3/201; C08J 5/06; C08L 2205/16; C08L 2201/06,B27N 3/04,B29B 7/92,B29B 7/12; C08J 3/20; C08J 5/06,RAFAEL GHESLA SILVESTRIM,RUTH MARLENE CAMPOMANES SANTANA; ADRIANA DA SILVA MOURA
ID07164,05/01/2021,Patente,2609,3.1,Publicação do Pedido de Patente ou de Certificado de Adição de Invenção,BR 10 2019 013352-0,27/06/2019,,,C22C 1/02; C22C 21/02,C22C 1/02; C22C 21/02,PROCESSO DE LIGA QUASICRISTALINA A PARTIR DE MATERIAL RECICLÁVEL E CONGÊNERES,UNIVERSIDADE FEDERAL DA PARAIBA,PB,BR,FRANKLIN  LACERDA  DE  ARAÚJO  FONSECA  JÚNIOR; DANIELLE GUEDES DE LIMA CAVALCANTE; BRUNO ALESSANDRO SILVA GUEDES DE LIMA; TIBÉRIO ANDRADE DOS PASSOS; RODINEI MEDEIROS GOMES,UNIVERSIDADE FEDERAL DA PARAIBA,,,UFPB,PB,,C22C 1/02,C22C 21/02,,C22C 1/02,C22C 21/02,,FRANKLIN  LACERDA  DE  ARAÚJO  FONSECA  JÚNIOR,DANIELLE GUEDES DE LIMA CAVALCANTE; BRUNO ALESSANDRO SILVA GUEDES DE LIMA; TIBÉRIO ANDRADE DOS PASSOS; RODINEI MEDEIROS GOMES
ID07166,05/01/2021,Patente,2609,3.1,Publicação do Pedido de Patente ou de Certificado de Adição de Invenção,BR 10 2019 013424-0,27/06/2019,,,A01N 43/38; A01P 7/04,A01N 43/38,DERIVADOS DO N-SULFONILINDOL EM FORMULAÇÕES PESTICIDAS CONTRA INSETOS,UNIVERSIDADE FEDERAL DE SERGIPE,SE,BR,SÓCRATES CABRAL DE HOLANDA CAVALCANTI; ROGÉRIA DE SOUZA NUNES; LEANDRO BACCI; ROSELI LA CORTE DOS SANTOS; RAFAEL DOS REIS BARRETO DE OLIVEIRA; THAYSNARA BATISTA BRITO; NATHÁLIA ARAÚJO MACÊDO; RAFAELA KAROLINA VIANA NUNES; ADRIANA DE JESUS SANTOS; ÂNGELA  CECÍLIA FREIRE COSTA,UNIVERSIDADE FEDERAL DE SERGIPE,,,UFS,SE,,A01N 43/38,,,A01N 43/38,A01P 7/04,,SÓCRATES CABRAL DE HOLANDA CAVALCANTI,ROGÉRIA DE SOUZA NUNES; LEANDRO BACCI; ROSELI LA CORTE DOS SANTOS; RAFAEL DOS REIS BARRETO DE OLIVEIRA; THAYSNARA BATISTA BRITO; NATHÁLIA ARAÚJO MACÊDO; RAFAELA KAROLINA VIANA NUNES; ADRIANA DE JESUS SANTOS; ÂNGELA  CECÍLIA FREIRE COSTA
ID07168,05/01/2021,Patente,2609,3.1,Publicação do Pedido de Patente ou de Certificado de Adição de Invenção,BR 10 2019 013454-2,27/06/2019,,,C07D 487/04; A61K 31/519; A61P 35/00,,USO DE COMPOSTO DERIVADO DE PIRIMIDOBENZIMIDAZOL,FUNDACAO UNIVERSIDADE FEDERAL DE CIENCIAS DA SAUDE DE PORTO ALEGRE; UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL - UFRGS; UNIVERSIDADE FEDEERAL DE SANTA MARIA - UFSM,RS; RS; RS,BR; BR; BR,MÁRCIA ROSÂNGELA WINK; JÉSSICA GONÇALVES AZEVEDO; GUIDO LENZ; NILO ZANATTA; SIMONE SCHNEIDER AMARAL,FUNDACAO UNIVERSIDADE FEDERAL DE CIENCIAS DA SAUDE DE PORTO ALEGRE,UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL - UFRGS,UNIVERSIDADE FEDEERAL DE SANTA MARIA - UFSM,UFCSPA,RS,RS; RS,,,,C07D 487/04,A61K 31/519,A61P 35/00,MÁRCIA ROSÂNGELA WINK,JÉSSICA GONÇALVES AZEVEDO; GUIDO LENZ; NILO ZANATTA; SIMONE SCHNEIDER AMARAL
ID07174,05/01/2021,Patente,2609,3.1,Publicação do Pedido de Patente ou de Certificado de Adição de Invenção,BR 10 2019 013500-0,28/06/2019,,,A61K 36/889; A61P 9/12,,COMPOSIÇÕES FARMACÊUTICAS PARA USO EM DESORDENS CARDIOVASCULARES A PARTIR DO EXTRATO DE COCO ARIRI (SYAGRUS COCOIDES MARTIUS),UNIVERSIDADE FEDERAL DO MARANHÃO,MA,BR,THÂMARA DE PAULA REIS SOUSA PIRES; ADEILTON PEREIRA MACIEL; RACHEL MELO RIBEIRO; CLAUDIA QUINTINO DA ROCHA; CÁRITAS DE JESUS SILVA MENDONÇA,UNIVERSIDADE FEDERAL DO MARANHÃO,,,UFMA,MA,,,,,A61K 36/889,A61P 9/12,,THÂMARA DE PAULA REIS SOUSA PIRES,ADEILTON PEREIRA MACIEL; RACHEL MELO RIBEIRO; CLAUDIA QUINTINO DA ROCHA; CÁRITAS DE JESUS SILVA MENDONÇA
ID07175,05/01/2021,Patente,2609,3.1,Publicação do Pedido de Patente ou de Certificado de Adição de Invenção,BR 10 2019 013536-0,28/06/2019,,,A61K 36/889; A61P 35/00,,FORMULAÇÕES FARMACÊUTICAS COM EXTRATO DA SEMENTE DE EUTERPE OLERACEA MART,UNIVERSIDADE FEDERAL DO MARANHÃO,MA,BR,WALBERT EDSON MUNIZ FILHO; MARIA DO DESTERRO SOARES BRANDÃO NASCIMENTO; ANA PAULA SILVA DE AZEVEDO.SANTOS,UNIVERSIDADE FEDERAL DO MARANHÃO,,,UFMA,MA,,,,,A61K 36/889,A61P 35/00,,WALBERT EDSON MUNIZ FILHO,MARIA DO DESTERRO SOARES BRANDÃO NASCIMENTO; ANA PAULA SILVA DE AZEVEDO.SANTOS
ID07176,05/01/2021,Patente,2609,3.1,Publicação do Pedido de Patente ou de Certificado de Adição de Invenção,BR 10 2019 013538-7,28/06/2019,,,A01G 27/02,A01G 27/02,CULTIVADOR DE PLANTAS AUTO IRRIGÁVEL,INSTITUTO FEDERAL SUL-RIO-GRANDENSE,RS,BR,CASSIANO PINZON; FERNANDO MOGNON; CHARLES MAICON FITLER; GABRIELA TONIN BISOLO; DOUGLAS DE BARROS; WILLIAM AVILA FERREIRA OLIVEIRA; AMAURI LOPES; CÍCERO MADALOZZO SALVADORI; PEDRO HENRIQUE BENEDETI; GABRIEL DEBARBA BARONI; LÉLIO FRITSCH FILHO; CAROLINE SCHUMANN; DANIEL SEBBEN GIONGO; FRANCIELE RODRIGUES RIBAS; LUCAS EDUARDO NASCIMENTO DA SILVA; KELLY SUBTIL DA ROSA; DIEGO PIETA FROSI; RODRIGO OTAVIO DE OLIVEIRA; LUIZ CARLOS FERRON JUNIOR; GIOVANNI CORBARI GASPARINI,INSTITUTO FEDERAL SUL-RIO-GRANDENSE,,,IFSUL,RS,,A01G 27/02,,,A01G 27/02,,,CASSIANO PINZON,FERNANDO MOGNON; CHARLES MAICON FITLER; GABRIELA TONIN BISOLO; DOUGLAS DE BARROS; WILLIAM AVILA FERREIRA OLIVEIRA; AMAURI LOPES; CÍCERO MADALOZZO SALVADORI; PEDRO HENRIQUE BENEDETI; GABRIEL DEBARBA BARONI; LÉLIO FRITSCH FILHO; CAROLINE SCHUMANN; DANIEL SEBBEN GIONGO; FRANCIELE RODRIGUES RIBAS; LUCAS EDUARDO NASCIMENTO DA SILVA; KELLY SUBTIL DA ROSA; DIEGO PIETA FROSI; RODRIGO OTAVIO DE OLIVEIRA; LUIZ CARLOS FERRON JUNIOR; GIOVANNI CORBARI GASPARINI
